Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ワーカーグローブ,Work Gloves,500000,0,de6bfb967bf7db8b111f70879860898d,e559d41eec5b82f8f77aa23609e36786,69d9f34be89fb3f2b59db6ea03d69815,,,,,,,,,,
￥[NPC]セントラルリーダー服手袋　固定,,500010,0,7941f249951b82b65bc5e327e47685a8,b808ce5de3c5a7b5dcb4a8f6e444a071,f1556bd163b9558bd7520f9f036c34f4,,,,,,,,,,
,,500011,0,,718817b5b46aaaf5860582f65c0c2d89,85ca3b84ddbf15f3c6a93e89324d2ee2,,,,,,,,,,
カムフラソックス/B,Camouflage Socks/B,500020,0,aff87eb02bd29bb2fef17c979b1310ae,24620ab3d881c13e2bb9f73e114e1b4b,fd1c520f160a1ffe5bcce9bfae830fa5,,,,,,,,,,
カムフラソックス,Camouflage Socks,500021,0,49ae3d9894a470536bb1f8f5860bc8e5,c19a6b4ba98f357cb95f6caa947a7d62,0e5a992fd6625d028539268bace9fc0e,,,,,,,,,,
ウォームフリルニーソ,Warm Frilled Thigh-Highs,500030,0,b01c5ecc7b932c2ed43560387c341e47,07db0b8646834e55b4c71e3a18370895,28a958d1f741c657e65099f6b438b9a1,,,,,,,,,,
ウォームフリルニーソ/B,Warm Frilled Thigh-Highs/B,500031,0,82e13e5826470f311eb1ba6204dae5ee,a7ddf4ea7b1e9e94d3d93eadd4e206e0,3b6deec7d725e0deaa7e98c8369add0a,,,,,,,,,,
ウォームフリルニーソ/C,Warm Frilled Thigh-Highs/C,500032,0,bbaddaa1289943f22c1fa7d4a64d93bc,1f0291a92b4e83faf17b9f3503d2f245,443c82821a1d359f0fc3e3645cc2568b,,,,,,,,,,
オウカペイント/B,Blossom Paint/B,500040,0,815e637e922072002b4d4116a303276e,b642408330852c04d23bd9f10277e659,16564d92facd189b98f195a5ac1faff0,,,,,,,,,,
オウカペイント,Blossom Paint,500041,0,a0890052782970999d82f54185e450b9,c40aa6a61e9a1866eb68726a24c24b80,f53ffe640643e4151287499f23a5c6bf,,,,,,,,,,
