Files are layed out as: NGSHumanfile NGSCastFile NGSCasealFile NGSFigFile
Substitute Motions are in win32reboot, unlike most NGS player files
The first two characters of each filename are the folder name

標準,Standard,000,ca\34d89af2f3bbe639b04ee4927deb9e,3f\88b696e5dad0907ed16269490e7961,a4\b4f88272a3e9c283b01c3a8d505f4c,bb\182d68ad8566dd05dc18415d74b24a
シンプル,Simple,001,eb\821268b9dc86f1d4e03e3f718faac4,32\35329f5dad60e6b23d5b441ede9f42,ef\290ac5961bc4e7ea4553cc32fb9964,2d\2305db2b3d29911b84971c3b6bdbc0
シンプル2,Simple 2,002,d6\9e69af109b80664ab33468fe5432ce,6d\6ae8f8f4625b02d97d2aa197df2bc9,3c\181e341d296500fbc6461beece4eac,43\a61b130ecd2e976efb34511bf11df7
三点着地,Three-Point Landing,003,fe\7527aeee9b9826858a790e9d6e1e44,30\a1512da6c104ed04e4fe452703b018,5c\7e09040820e7d20d4adcf59beaf8a9,34\a24e422b65df7cfd3e7d4ff384054c
両手で支える,Support with hands,004,77\2894264a857c10ae59a8ffed888018,8f\83f16ce0b4aa018276b5be8ef3e768,28\64e708780db376c88e85ff7cb2a5e9,bf\8b150dfb0233a89bf2e7f7cde9b427
ふんわり,Soft,005,ee\1154b17eb9a145b2bf43c123f3f644,5c\1ea59f1db458151789576d6b88c2a2,09\c260441f4bbe9e2d469a3edbfefb0f,a1\ac1e5934c6fafe512bfa430631afac
重量級2,Heavyweight 2,006,03\e827dcfa02033450b41c0e93398b53,ed\8bbafc01072c6d515e99dfb9ef59bb,28\a749f20c776a241a48376cdba83be9,29\ca4996f654ab486191c978f193b003
器械体操,Artistic Gymnastics,008,bd\9ab96eaa0bc0dc5cdf46d5f2556a58,55\843187d66cfdc7efafd30dd3ae0cf4,67\c1da59c5430e6aee35cb6a10e53f8f,e9\78666462fdf90c7edc5e449760ee8f
重量級,Heavyweight,009,c1\bdba0dd333f5bc8c6b457f53de904f,ee\2adbcf568910464cab55869e4e28ac,8f\6bb7d3b2e4e96bc2f17273fbf8c81f,b8\37633a197eac3f1e258820982c5a9a
おっとっと,Whoa There,010,ae\d7a8dcd6085f1f3b1983712840af70,f8\6b685606aca07e44accfba3d548d89,b2\3397e3fef790962aabd4acc8c247a7,d9\a6d77b784fe1255d0e660b757a462f
内股,Dainty Descent,011,d5\8fdc2efc6fb83ed35b0bc473109338,38\87683d512dafaf3240028680cee4e7,03\e9b2d0e6d1858416a2c06c1b892166,f6\e71030aea65462ccbf0789630b682f
[Unnamed 12],012,14\0d450f0a820ddc0627fb8d497c9717,31\2a02e783b6704e4e801d916991d8d5,b0\98bc3f419cad71ad88cd9477174fd1,8d\872e10888e2e1e51b79246c8569bcf
スタイリッシュ,Stylish,013,1a\f7538304c3439c51142593a9a70946,e3\d2f8505aff63f9d048b370f91a46b2,30\566fd7ead32096038d3ad0b6a87bae,4e\d350a84fea462b203f2b5925947706
フローズン,Frozen,014,d8\88b0944d80942a6a291c5b7c40286f,9c\d62113761febe2925e9af7887f0d4b,66\30792c1e22f6c2c3d3088043b24b23,9d\4eda1b0e759c1883412c29d4957903
つむじ風,Whirlwind,015,fb\3db5e7ba90767284a7951817d2ba76,f7\d25ecb5bacef016d2dd2f25afedc5f,4d\f02f187ddd764970ad6a3d333f3d43,4a\157267de08211ccd4ca1a3314410b9
腕組み浮遊,Floating with Arms Crossed,016,dc\13ff8e05a806076e15e13697b08163,9d\406b43a812e647d621242cdad4e87f,f0\5cdc18b32f0740bdea9b0c47e5dbff,1e\2a348fb81583f0019479e8dea2d351
火炎,Fire Mage,017,6c\ed317f735d4427f73b8d0610aece95,5f\6d1d78916e7049ceb2778431beca6f,46\28c3d5f4dfaa7db0de61fcbb789b3b,e0\2e7cd3146b3833f2e51b3f6eaae272
フローズン/B,Frozen/B,018,3b\de47c469265e27f9539125509c9646,74\655e65e6cab46627b7a52734373f1d,cc\0aaec12d1cb662979cd57157a01e0b,4a\2290e44eac77586b561b1ffa33145b
[Unnamed 19],019,11\2992d1b84c4490d07554b090604732,f2\e37eb5ff31abdedb97dacd60f74997,70\e8dcf36377898bfbbc22b1bcdaa122,13\f3cc04d3803611f45448773b0291f6
魔法陣,Sigil,020,66\da05d6d84c8ec8eb581a8abd2b5836,78\d938fed76bbd785948fe105752bd2d,e1\29009c8f183ff940caf0beabea0415,ae\11a199a29e0661cd1168c76c6580fc
[Unnamed 21],021,9c\dc376b0d7679916cdfbb3136fe4330,76\bcb4fc7eb23e96f7ebdd53cf6463cf,be\c9d49499d8d20147af91b1c4549af6,c6\8a9879a0e0e78ecc7b878ef0a70d8f
