Files are layed out as: NGSHumanfile NGSCastFile NGSCasealFile NGSFigFile
Substitute Motions are in win32reboot, unlike most NGS player files
The first two characters of each filename are the folder name

標準,Standard,000,26\8064216ab9caeb7800a3736bcb0ea0,8d\eb44d9f5427f3c56b04b93fc992aa4,fb\79cc9092ac1150621527fa8e435d7d,32\00a05a32d4fb46096e5bcd3e6e170e
シンプル,Simple,001,2f\62829c150df7569a0aba67760c14ee,bb\a460ada774330bcf1632c133381cfb,d4\6e51cd1e4ca1f73fc3516728d7e200,11\e69280ab4aae7dc54467b69406a061
シンプル2,Simple 2,002,5d\aeecf823d60ea285964757420fc4dd,f9\07e42440743b6528395e6dcfd85b96,09\513e0c7b7f0972056898c89e964c48,a9\2a6e8a8d507bf3f3d87c086bb752bc
決めポーズ,Signature Pose,003,b3\5a5568d41ccbd9a64f621b6a332603,32\28bd02fb86994b21c1f7770c6f7994,d4\2de33bf8ebd99c400fd6cfa21345ff,92\4ff0f4005a7880b0a1d7420fd97b50
直立不動,At Attention,004,6f\c1e65160e8645034521ea863f3b48d,43\c82aac91dff95d296cda80f5ca8883,2a\e1ae68ae78c000bfa701795fdad879,ca\3dc42ead5f9f34682fef1d76bc8d2a
腰に手を当てる,Hand on Hip,005,70\084a78d1f94135cace0edb2f3467a5,78\7fbe34f9490a73356bafa70ae17a6c,0a\fdd009315a194ca50cf4a08dd35444,e9\6ede80930b5d5de1d47c086839b9a1
腕を組む,Folded Arms,006,fe\6b0460a503493682526221282c9a5c,91\e6845aea1a34a3d9c1cd0b0699f323,a0\2121a18cc41f427d7e4b4e0bf19af6,89\ca2fe1bdf78a8ea6a315365631e8ff
仁王立ち,Power Stance,007,c3\72c9ff0ad1f65da919e5e136d322cc,30\03eb0ece3bb8e1946db99ca9b2f82f,d9\4d37416d20f6b5093838514d686628,97\41f23f0ac00af2f5bfd69c2a708ba1
優美,Dainty,009,f1\55896088e8f440c6ecba005dd3b3ed,6d\1f831e0b0d057c9791ab7638cdaa32,81\221d70fbe4da3258f9e294cdd3e220,ff\3306d0da9f5f6d8d593ec38081fd3a
浮遊,Floating,010,ae\14ae99ddbab6ba91a822b0d8baedab,70\6e3050e8b9f5e66b0ece3d299e3d31,da\59bac7f80ec675abd79b8edb5c0847,32\fbdfd2e1997d2ed32800c5836c63ab
やいやい,Rambunctious,011,09\a51bcac36357a26d841386d0461770,9a\1d242dc76114e895c7370a1e9b094c,82\13419f06d1e32d02e8ab6a64102afd,e2\d3ec70bea1e621d308ec9222c19bb3
やれやれ,Turn Neck,012,8f\69ecfaac6c4bda372f936be57f5f3f,e0\0f1577b4923f1e7d0e96f0d6ed90be,7c\c4e3ab88b6792fbeb2b2255e5645d4,ce\65194e431913e3d4e6aaa4938ad566
カンフー,Tai Chi,013,e2\10b44b02590220c41998df4497dd24,9b\172706c7e6a3693ed79321e112293a,6c\783c33054f6358ecdf0816e9bb8f3d,51\8043e16ebc74897c66dba866b12218
ふんわり,Soft,014,7b\0937cc392423c0178b5957229715c0,ac\1b1c857cc279824beaa8359ea6accc,8a\cc51212fe6f437343e11e640e4de6c,f0\177a2bbbc7b6cacddc440bf796122e
あおぐ,Heat Fan,016,fb\67dda2c741cb1ee9052bb40effd236,06\ca0327c101fb61b4534863ef9b1e30,6d\9203823b4acb4a427c9742543caade,5c\e6d9ad22d0f3bcfd75ab49cafb1ec8
無邪気,Innocent,017,4f\4ace4e8755c9e669d31ae842f97415,51\0a751229d6c16fcd89a8cae6b46dff,51\7705b68d77f454ec1f98beb192bb3b,88\02b76949deba2f740864f4e4b7e165
思案,Thinking,018,d4\b712b060239640e07e74f69018a184,44\214788f6a4a898a81ecd89c1534033,2b\149c7548f303ddf2c80f7aa624cd78,ab\539fde112ef2b28f136aa8a104dac1
構え,Stance up,019,01\622f23ddc319b0dc644f1867d77b19,4e\26cecf1bc12884e0ec17df78a5a405,a9\af8861e6b2e30fd8018451ff534e7b,6f\9b026eec20a43c21637156eadd85a1
髪を整える,Fixing Hair,020,77\6c75b21ad9b163d593eed9c7866488,7c\4a8808b31adc9e35a832be772f34e5,b3\f07e704030a4649702a0f1ae1ff3cf,11\1bd279cc3aac5d52708e3aa9ff9d6e
情報確認,Checking Things Out,021,f5\069829406872004ba1907eb8b99ee8,f9\00dd3033988957e5a6da5f71829f45,50\7ea68ce2214ce76a34063ce5478291,89\411ab6584cc2a328d861ab12b9dc2a
ストレッチ,Stretching,022,c7\d35fe65a6f56cc54a5c3480ca64a6b,2f\f1304e7c783c5d9eb95a7f8cc8fc68,7e\3cb6b3e6f13295197f7cac07028855,09\1299d8e8bbac10f6a5e8e5e13071f0
ボクサーステップ,Boxing Footwork,023,39\189a23366dff017510d8e35999e377,c5\c804e5c7f27684aae5283b02ea9a03,e1\cd3d8d1e1cd4fd1d9507076cb0046d,e0\624c69f2fa1471416769e019758e59
仁王立ち2,Power Stance 2,024,f2\3372e275d621a38d803bd546bba2e6,96\7aa29a386fab060494867657b61078,62\969a7b8d33622811297edfac8e4388,34\c329860419ee2b4b31d1dad527ba2d
汗をぬぐう,Wiping Away Sweat,025,d1\c1a75c094cb8add5c0f670d1f42a82,7b\d626c61640276244187aa6221a729e,b7\1313ed54ff0818a347e510608a07d2,f9\dddec36c8fda476d530b2eab1ab5e6
執事,Butler,026,d6\963227b9704a902560236cb2823616,09\d1783cc82472ba1805796ebd18d0f4,52\741aef010dc94cce79d909b8d6910c,bb\ef42d871f9fb0c20682aec6c61edac
いじいじ,Bashful,027,9c\f0c51b5d5f02b7c8c1a475e0550dbd,47\60a0da395cb3738be542e77d912131,72\d918951c8dcedb502fe0aac7db2efa,e7\b365cc7e88f654d62f569962b18306
スリープモード,Sleep Mode,028,55\cf84c9e6ad7e64038337d336df4477,5e\bf87c344c56a702c97f7231b64678a,e0\97d5453a24e067c53900f2848ffebe,e0\6faf07ee3cb6988514dda152748822
[Unnamed 29],029,06\ad5d2f103e6791f97e72c2355ea6dc,9f\e8fe35828a9d8a4f02c8f2eccd8214,fe\63298886f43765e0b5e797c2b36169,ba\487452007c0a83ecf48b82409fa1b5
腰を曲げる,Bent Back,030,5f\6956b298e9e9cd555d6c2a2d858304,a4\54ee9f7d00690c3da61de47d56c58c,ed\c17bf33770c75afd5a4e68e21f5298,60\c093d98b46a21963bc64c8b80dfdd8
腰に手を当てる2,Hand on Hip 2,031,90\b3d6a743d21c4131e31ecaad10d2f7,d5\784818ce552d0ef8d5ab5c9ff9e85b,c0\8f031d70e042a5432cadaa42830dcc,a4\4ddad505a05e690ac35e0ff2ce55db
エステ,Salon,032,2c\a14775edcd78c2f32802aafa51bda6,8c\9cddd1de1103e41ee6690cc56b7b10,04\83c684268ace3ab4dd55d5d4fe2cf7,b0\8df21305b280d6887d1ebfe572e7f1
エステ2,Salon 2,033,6a\291ab678c3757f18f45fc73bde88c2,23\b35662cb07f40f9cb0b323fe171a68,de\9aff77d88cf7e42f134c407c3a9bcc,c0\207ae7d00ec15fcd6aea41ffa4b737
イライラ,Irritated,036,77\46b72725dacaa03829770cd1e931be,51\dd866ba0251bd19c97c5e56bdfbb9f,65\c58f139a394db827e7288c87c2a863,fd\46712cd397288194c6f66d4877570d
後ろ手,Hands Behind Back,037,5c\d3b8f8907dbb85f605a9c8b132d7b7,29\9ebf3709a4623290d6055d0a3bd8a8,04\a017c3193c1458c8af4b412b577352,4e\fd55b63e14429eec6efcff797eed4f
ラッピー,Rappy,038,37\b3c6b45f9ee3bae07e1cfcab84cb19,82\85b11fee4214f34250779bc0dd3ff5,3b\c81c1a5155cc16471ec8ce934f1d0e,17\8287fe3894dc263173ca65cdf1c247
